Direccion,Latitud,Longitud
"CARRERA 48 # 18-100,Villa Carlota",6.2206672,-75.5756234
"Calle 4 Sur bajo el puente,Medellin",6.2037094,-75.5827212
"CARRERA 43F - CALLE 18,Telemedellín",6.2196403,-75.5710833
"CARRERA 48 # 27-4,Río Aburrá",6.154838,-75.615264
"CARRERA 47 - CALLE 7,Medellin",6.2089097,-75.57609169999999
"CARRERA 48 # 19A-108,Ciudad del Rio",6.2236848,-75.5748953
"CARRERA 48 # 27-86,Plazoleta del Centro Comercial Punto Clave",6.154838,-75.615264
"CARRERA 43F - CALLE 19A,Parque lineal de Ciudad del Rio",6.222308399999999,-75.5713864
"CALLE 19A - CARRERA 43F,Calle 19A Villa Carlota",6.222308399999999,-75.5713864
"CARRERA 70 # CIRCULAR 1-50,UPB",6.2322924,-75.5914637
"CALLE 34 # 66A - 57,Unicentro",4.7021426,-74.0411165
"CALLE 47D # 65-92,Suramericana",6.25212,-75.58467
"TRANSVERSAL 39B - CIRCULAR 74A,Laureles ",6.2454755,-75.5955129
"CARRERA 76 # 34A-32,Medellin",6.2419084,-75.59666170000001
"CALLE 48 - CARRERA 77A,Medellin",6.258107,-75.5944816
"CALLE 44 - CARRERA 70,Medellin",6.249169999999999,-75.5888245
"CARRERA 66B CON CIRCULAR 2-1,Medellin",6.2434737,-75.58618799999999
"CARRERA 39D # 73-95,Medellin",6.246156699999999,-75.5927806
"CARRERA 76 # 39B-13,Medellin",6.243536499999999,-75.59719059999999
"CARRERA 67A - CIRCULAR 3,Medellin",6.2476376,-75.56581530000001
"Calle 32E - carreras 67,Medellin",6.2379376,-75.58890339999999
"Carrera 45 - calle 7,Medellin",6.209317299999999,-75.57479599999999
"CARRERA 66B # 40-51,Medellin",6.2449369,-75.584144
"CARRERA 74 # 52 - 100,Medellin",6.262809499999999,-75.58887829999999
"CALLE 44A # 75-34,Medellin",6.250532499999999,-75.594506
"CARRERA 70 # TRANSVERSAL 51A,Medellin",6.2585275,-75.5838898
"Calle 52 A - carrera 78 B,Medellin",6.2650728,-75.59431239999999
"CARRERA 65 # 44-41,Medellin",6.249002099999999,-75.5832487
"Calle 49 - Carrera 77C,Medellin",6.260056899999999,-75.5947714
"CALLE 47 # 72-21,Medellin",6.2423812,-75.56022569999999
"CALLE 48 # 79-46,Medellin",6.2667269,-75.5945974
"CALLE 47D # 70-82,Medellin",6.253401299999999,-75.5884676
"Carrera 95 Calle 42c,Medellin",6.254211799999999,-75.61381089999999
"Calle 55 - carrera 77C,Medellin",6.2677869,-75.59160899999999
"CARRERA 65 # 50-29,Medellin",6.2563173,-75.58089679999999
"TRANSVERSAL 39B # CIRCULAR 1-2,Medellin",6.2447468,-75.595038
"CARRERA 64B - CALLE 50,Medellin",6.2552619,-75.5794216
"CALLE 51 - CARRERA 78B,Medellin",6.263402,-75.595089
"CALLE 49B #78A-2,Medellin",6.2623066,-75.5950704
"CALLE 73 # 52-2,Medellin",6.2697251,-75.56596809999999
"CARRERA 52 # 67A-13,Medellin",6.2654336,-75.5665361
"CALLE 82A # 52-29,Medellin",6.2764212,-75.56458040000001
"Calle 72a # 48 - 70,Medellin",6.2682061,-75.55872219999999
"Carrera 67 - calle 10,Medellin",6.217442399999999,-75.58869109999999
"CARRERA 70 # 29-73,Medellin",6.2453318,-75.589469
"CARRERA  76 - CALLE 32BB - 5,Medellin",6.2354274,-75.5964571
"CALLE 42C - CARRERA 63AA,Medellin",6.2448384,-75.58011330000001
"CARRERA 65 # 30-1,Medellin",6.2319531,-75.5828418
"CARRERA 70 # 3-138,Medellin",6.2149974,-75.592868
"CARRERA 65 # 32F-12,Medellin",6.2390023,-75.5829792
"CARRERA 70 # 16-18,Medellin",6.220622,-75.5923378
"CARRERA 52 # 29B-138,Medellin",6.194263599999999,-75.59155
"Calle 5 entre Carreras 65E y 65B,Medellin",6.2476376,-75.56581530000001
"DIAGONAL 74B - CALLE 32F,Medellin",6.2383763,-75.5906115
"Calle 51 - Carrera 40,Medellin",6.2473215,-75.5597829
"CARRERA 52 # 61-21,Medellin",6.260024899999999,-75.56732149999999
"CARRERA 51 # 46 - 63,Medellin",6.2477762,-75.5695575
"CALLE 41 # 55-80,Medellin",6.2430981,-75.5763387
"CALLE 42C # 53A-24,Medellin",6.2455941,-75.5809746
"CALLE 42A - CARRERA 57A,Medellin",6.3284061,-75.56392079999999
"CARRERA 52A # 44 - 4,Medellin",6.1719038,-75.61444
"CARRERA 52A # 44 - 14,Medellin",6.1718661,-75.6143331
"CARRERA 51 - CALLE 50 - 82,Medellin",6.2413709,-75.5718959
"CARRERA 51 - CALLE 51 - 47,Medellin",6.2413709,-75.5718959
"CALLE 35 - CARRERA 50 - 77,Medellin",6.2324479,-75.5599776
"CARRERA 52 # 52-36, Medellin",6.2520585,-75.5688387
"CARRERA 51 # 45 - 80,Medellin",6.246520599999999,-75.56958510000001
"CARRERA 46 # 34 - 46,Medellin",6.234744699999999,-75.5717389
"CARRERA 52 - CALLE 42,Medellin",6.2431855,-75.5721413
"Calle 52 #28A 46,Medellin",6.249486,-75.5659113
"Calle 46 entre Carreras 55 y 57,Medellin",6.2483711,-75.57361329999999
"CALLE 41 - CARRERA 53,Medellin",6.242339800000001,-75.5737813
"CALLE 65 - CARRERA 78A,Medellin",6.2730033,-75.5921436
"Transversal 73,institución universitaria Pascual Bravo,Medellin",6.2729548,-75.5858124
"CALLE 59A # 64C - 44,Medellin",6.261109599999999,-75.58312600000001
Carrera 72A # 78b,6.2875122,-75.576811
